@relation auto-analyze-full

@attribute ID numeric
@attribute neg numeric
@attribute neu numeric
@attribute pos numeric
@attribute compound numeric
@attribute class {negative,positive,neutral}

@data
67287,0.106,0.811,0.082,-0.6197,positive
25880,0.038,0.783,0.179,0.9587,positive
12666,0.102,0.649,0.249,0.8604,neutral
54883,0.159,0.824,0.017,-0.9465,neutral
49319,0.092,0.514,0.395,0.7571,neutral
36954,0.172,0.775,0.053,-0.7061,negative
58620,0,0.749,0.251,0.9567,positive
59281,0.117,0.707,0.176,0.6528,neutral
30088,0.148,0.821,0.03,-0.93,negative
7590,0.104,0.718,0.178,0.7767,positive
46176,0.013,0.946,0.041,0.5284,neutral
45173,0.078,0.786,0.136,0.8568,neutral
